5001,5001,5001,5001
1.2698,1.2698,290.26,20.698
29.254,29.254,511.85,263.49
5001,5001,5001,5001
23.472,23.472,1589.6,56.288
39.185,39.185,627.62,85.135
30.546,30.546,3956.8,66.924
4.8923,4.8923,965.42,49.766
222.41,222.41,5001,660.31
208.21,208.21,5001,252.85
1056.4,1056.4,5001,1100.5
405.61,405.61,1960.6,492.95
2.6226,2.6226,280.82,26.52
5001,5001,5001,5001
55.633,55.633,2961.9,89.514
2223.8,2223.8,5001,2312
19.882,19.882,1771,836.56
0.072988,0.072988,23.958,10.446
16.91,16.91,457.53,93.001
32.384,32.384,5001,5001
593.2,593.2,5001,632.13
2380.6,2380.6,5001,5001
96.977,96.977,5001,135.27
240.77,240.77,1347.2,3263.7
9.2216,9.2216,299.52,37.825
5001,5001,5001,5001
1107.9,1107.9,5001,1195.6
3258.9,5001,5001,5001
85.363,85.363,5001,224.01
197.26,197.26,1559.1,284.8
103.53,144.18,803.1,303.2
52.105,52.105,5001,92.181
611.74,611.74,5001,701.35
5001,5001,5001,5001
200.8,200.8,5001,240.78
0.20397,0.20397,25.34,10.739
0.33795,0.33795,297.53,0.33795
5001,5001,5001,5001
37.637,37.637,653.74,338.47
2363.8,2363.8,5001,2453.4
76.446,76.446,5001,109.44
61.365,61.365,1466.4,317.66
5001,5001,5001,5001
5001,5001,5001,5001
11.262,11.262,367.35,38.137
205.4,205.4,5001,241.37
566.82,566.82,5001,658.57
5001,5001,5001,5001
11.403,11.403,3805.9,223.8
5001,5001,5001,5001
6.795,17.748,332.75,99.805
21.061,21.061,1183.8,101.08
5001,5001,5001,5001
5001,5001,5001,5001
108.77,108.77,1814.3,146.98
5001,5001,5001,5001
7.1069,7.1069,425.35,74.774
33.21,33.21,832.1,121.05
126.53,126.53,966.86,330.21
4.6623,4.6623,947.43,242.17
58.574,58.574,5001,97.515
1088.3,1561.4,1088.3,1650.9
33.138,33.138,5001,80.491
5001,5001,5001,5001
92.719,92.719,5001,132.37
5001,5001,5001,5001
37.216,37.216,1141.5,875.29
124.14,381.56,516.43,493.17
186.93,186.93,1274.6,276.42
96.167,96.167,1593.4,129.14
5001,5001,5001,5001
32.446,35.015,634.24,68.256
13.094,13.094,382.02,152.19
144.49,144.49,5001,182.75
427.27,1513,518.59,5001
0.28696,0.28696,26.03,11.583
91.304,91.304,1577.2,127.64
86.339,86.339,349.03,559.59
5001,5001,5001,5001
3906.4,3906.4,5001,3996.2
32.904,32.904,1311.4,75.392
5001,5001,5001,5001
54.129,54.129,1734.7,143.33
4.5113,4.5113,330.02,341.46
1217.1,1217.1,5001,1255.9
451.77,451.77,998.44,482.61
2.2837,2.2837,289.23,14.887
3.5884,3.5884,307.61,48.458
28.882,28.882,980.09,82.164
14.928,14.928,364.93,44.467
2.5296,2.5296,283.85,20.659
1079.1,1079.1,5001,1122.6
143.36,143.36,5001,177.92
184.75,298.33,741.75,386.17
152.92,152.92,5001,190.62
158.97,158.97,5001,202.88
30.394,30.394,531.74,704.72
132.89,132.89,5001,169.49
369.74,580.67,613.23,668.02
2120.1,2120.1,5001,2209.3
29.24,79.084,1838.8,2053.8
12.423,12.423,535.15,100.4
3.5455,3.5455,926.64,241.7
262.18,262.18,5001,299.16
5001,5001,5001,5001
192.95,192.95,1039,282.16
5001,5001,5001,5001
17.516,17.516,384.44,47.133
5001,5001,5001,5001
640.83,640.83,5001,729.84
146.82,146.82,5001,185.97
235.04,235.04,5001,273.12
346.34,346.34,5001,390.48
1.0998,1.0998,352.44,78.517
559.28,559.28,5001,648.02
379.26,379.26,5001,468.39
12.007,12.007,406.82,37.77
0.6589,0.6589,26.53,11.736
61.391,61.391,1168.2,521.88
5001,5001,5001,5001
4.1634,4.1634,291.23,4.1634
5001,5001,5001,5001
5001,5001,5001,5001
625.84,625.84,5001,713.79
5001,5001,5001,5001
2600.1,2600.1,5001,5001
11.248,21.617,850.01,262.67
6.602,6.602,304.24,40.807
1493.6,1493.6,5001,1537.9
0.15698,0.15698,24.235,11.131
92.445,92.445,2328.6,128.4
186.4,186.4,5001,219.43
5001,5001,5001,5001
46.916,76.793,5001,110.46
1.3258,1.3258,286.22,14.136
20.252,20.252,728.03,619.22
8.6237,8.6237,415.67,33.285
5001,5001,5001,5001
5.9441,5.9441,298.52,26.547
56.489,56.489,5001,92.988
610.5,610.5,5001,698.94
5001,5001,5001,5001
5001,5001,5001,5001
441.68,441.68,5001,485.59
197.6,197.6,5001,231.64
18.29,18.29,1056,49.471
50.349,64.605,788.36,318.98
11.86,11.86,598.91,37.924
2.9995,2.9995,296.48,2.9995
13.857,70.628,518.82,152.31
129.4,129.4,1803.8,184.76
20.139,20.139,656.65,107.92
17.989,17.989,413.21,48.486
303.98,303.98,1550.6,470.06
19.461,19.461,760.54,214.87
838.32,838.32,5001,882.57
168.81,168.81,5001,208.87
77.269,3390.8,5001,5001
15.66,39.91,367.91,165.9
21.853,21.853,5001,53.253
5001,5001,5001,5001
46.633,46.633,1450.6,77.884
2.4956,2.4956,388.21,63.201
58.157,58.157,2913.4,98.043
45.392,45.392,727.22,81.223
15.158,24.193,351.95,112.44
19.323,19.323,499.63,276.7
15.577,15.577,305.72,78.974
12.027,12.027,292.95,41.875
214.32,214.32,5001,303.1
1.9127,1.9127,292.34,15.996
9.9305,9.9305,4482.6,38.851
0.36994,0.36994,23.957,0.36994
28.479,28.479,1178.1,62.722
21.352,21.352,1385.6,87.652
110.33,110.33,5001,198.26
10.873,10.873,5001,866.81
30.614,30.614,986.66,90.318
28.65,30.381,499.13,95.213
108.51,108.51,5001,149.19
34.639,34.639,444.71,122.45
2.5976,2.5976,279.83,16.858
101.05,101.05,810.83,188.99
161.39,161.39,3399.2,307.14
5001,5001,5001,5001
13.984,13.984,362.24,173.3
292.15,292.15,2627.8,330.49
1.3898,1.3898,25.8,16.325
69.663,178.94,1176.1,655.1
363.64,363.64,5001,401.29
26.62,52.605,547.94,129.09
596.17,596.17,5001,634.61
7.1719,7.1719,343.68,121.04
22.545,22.545,390.93,52.897
801.48,801.48,5001,2254.1
4.9043,61.505,492.79,150.08
1.2228,1.2228,282.44,16.916
12.635,12.635,296.75,13.285
121.48,121.48,5001,164.92
3.2415,3.2415,363.33,78.717
32.959,32.959,200.03,119.08
0.72489,0.72489,25.23,10.85
0.037993,0.037993,31.528,17.399
0.17097,0.17097,34.585,23.209
5001,5001,5001,5001
0.021995,0.021995,33.784,442.39
5001,5001,5001,5001
368.3,368.3,844.83,454.51
46.97,46.97,206.75,73.571
0.013997,0.013997,23.78,31.195
33.05,33.05,200.15,119.54
0.06399,0.093985,35.23,69.752
5001,5001,5001,5001
0.080986,0.080986,35.83,175.6
5001,5001,5001,5001
0.028994,0.028994,31.548,212.12
1.2048,1.5518,23.79,17.749
299.27,299.27,771.5,332.5
3292.9,3292.9,5001,3319.4
7.2309,7.2309,169.43,37.363
0.028995,0.028995,28.66,18.85
5001,5001,5001,5001
0.26496,0.26496,7.94,25.736
0.014997,0.028994,32.656,114.96
0.025996,0.025996,23.816,129.57
352.1,352.1,826.25,465.47
0.05999,0.05999,34.607,19.737
5001,5001,5001,5001
6.888,6.888,169.15,37.09
0.044992,0.044992,35.7,68.167
0.011997,0.011997,23.903,75.282
0.93286,0.93286,354.95,5001
3358.2,3358.2,5001,3385.2
0.007998,0.017996,23.758,11.209
0.05499,0.05499,276.76,10.235
5001,5001,5001,5001
5001,5001,5001,5001
0.16497,0.16497,9.03,26.776
9.8975,9.8975,400.53,5001
2.4556,2.4556,37.63,41.606
0.071989,0.071989,37.26,195.34
1.3658,1.3658,288.53,17.585
0.045992,0.045992,24.07,25.614
0.22397,0.22397,35.84,83.297
0.007997,0.007997,24.032,65.893
0.087985,0.087985,38.45,83.725
0.54092,1.9997,298.04,26.223
0.023996,0.023996,23.78,1338
0.12798,0.19897,23.951,9.4289
0.007997,0.007997,23.774,32.24
4367.3,4367.3,5001,4452.5
0.14498,0.14498,35.42,5001
1.1288,1.1288,84.01,27.46
38.9,38.9,202.33,64.752
0.54192,0.54192,36.62,76.764
37.587,37.587,196.35,64.433
1.0568,1.1768,301.01,75.926
0.002999,0.002999,23.765,9.054
0.26996,0.26996,36.055,1602
3.7294,4.2923,280.73,21.42
377.49,377.49,820.92,464.03
7.2699,7.2699,164.51,32.771
0.46293,1.4258,36.83,75.175
0.82387,1.0508,27.03,1.1858
0.013997,0.013997,23.763,23.15
5001,5001,5001,5001
0.014997,0.016996,23.778,110.79
1906.9,1906.9,5001,1944.6
1.5888,1.5888,157.43,28.21
0.16197,0.16197,9.48,27.873
5001,5001,5001,5001
0.32295,0.32295,24.52,11.34
358.16,358.16,800.05,390.44
5001,5001,5001,5001
0.13298,0.13298,7.65,27.095
5001,5001,5001,5001
1.1748,3.7134,301.24,5001
0.004998,0.004998,23.77,11.399
0.002999,0.002999,6.15,9
0.007998,0.007998,23.954,9.7499
154.98,154.98,612.52,181.89
1184.1,1184.1,5001,1210.6
0.006998,0.006998,33.717,0.16497
0.42593,0.42593,38.45,71.492
0.020996,0.020996,36.63,84.536
2349.8,2349.8,5001,2375.3
5001,5001,5001,5001
5001,5001,5001,5001
0.25796,0.25796,33.94,5001
0.006998,0.006998,23.766,37.17
4368.9,4368.9,5001,4454.2
0.93086,1.8027,294.03,2183
0.042992,0.042992,23.817,9.065
6.427,6.427,162.13,33.95
0.005998,0.007997,29.378,13.249
22.385,22.385,180.75,49.01
