CPUtime,Incumbent Runs
0.1803160000000048,2
0.2011959999999995,3
0.2295560000000023,4
0.4379770000000036,5
0.47187700000000277,6
0.6316600000000001,7
0.6774940000000029,8
0.89649,9
0.9497369999999989,10
1.1711480000000023,11
1.236934000000005,12
1.4368160000000003,13
1.5053120000000035,14
1.7250349999999983,15
1.8066460000000077,16
2.0619879999999995,17
2.153061000000001,18
2.3880729999999986,19
2.493636000000002,20
2.764981000000006,21
2.877551000000004,22
3.1467930000000024,23
3.2692300000000003,24
3.539988000000001,25
3.673115000000003,26
3.969183000000001,27
4.111941999999999,28
4.416958000000001,29
4.5730119999999985,30
4.880566000000002,31
5.042928000000003,32
5.405838000000003,33
5.585973000000003,34
5.9533970000000025,35
6.139324000000002,36
6.504235999999999,37
6.697396000000005,38
7.091759000000003,39
7.287227999999999,40
7.679551000000004,41
7.8831869999999995,42
8.269498000000006,43
8.487604000000005,44
