CPUtime,Incumbent Runs
0.5299920000000002,2
0.5663760000000002,3
0.5868630000000004,4
0.6074920000000004,5
0.7835340000000002,6
0.803815,7
0.8263560000000003,8
0.988866,9
1.0071770000000002,10
1.0227009999999999,11
1.040342,12
1.2022670000000002,13
1.3032000000000001,14
1.4896210000000003,15
1.5068270000000001,16
1.5235640000000001,17
1.540329,18
1.55726,19
1.57331,20
1.68131,21
1.695698,22
1.7118680000000002,23
1.7269500000000002,24
1.849607,25
1.8654560000000002,26
1.8816109999999997,27
2.1690310000000004,28
2.1836590000000005,29
2.1986489999999996,30
2.213145,31
2.2293770000000004,32
2.2429300000000003,33
2.3360000000000003,34
2.543083,35
2.629416,36
2.6450890000000005,37
2.816307,38
2.9134210000000005,39
2.9931910000000004,40
3.006836,41
3.1251830000000007,42
3.220713000000001,43
3.3138370000000004,44
3.3304110000000007,45
3.343609,46
3.482019,47
3.5351879999999998,48
3.6686520000000007,49
3.6813510000000003,50
3.695793,51
4.095129000000001,52
4.108454,53
4.121474,54
4.1357740000000005,55
4.151308000000001,56
4.246232000000001,57
4.258715,58
4.273614,59
4.288602000000001,60
4.378171,61
4.423515,62
4.512863,63
4.535542,64
4.547324000000001,65
4.666384000000001,66
4.679464,67
4.702231,68
4.858744000000001,69
4.903620000000001,70
5.001614,71
5.013691000000001,72
5.037838000000001,73
5.051216,74
5.201558,75
5.215974,76
