Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,5,60.9936,0,10.0,-1,0.001,1.0,1,60.9936,0,0.001,SAT,,0.946,
2,1,40,25.3912,0,10.0,-1,0.001,1.0,1,25.3912,1,0.002,SAT,,0.029,
3,2,5,44.2647,0,10.0,-1,0.001,1.0,1,44.2647,1,0.003,SAT,,0.03,
4,2,40,38.9485,0,10.0,-1,0.001,1.0,1,38.9485,1,0.004,SAT,,0.03,
5,2,53,73.0651,0,10.0,-1,0.001,1.0,1,73.0651,1,0.005,SAT,,0.029,
6,3,5,225.3764,0,10.0,-1,0.001,1.0,1,225.3764,1,0.006,SAT,,0.029,
7,2,16,6.9631,0,10.0,-1,0.001,1.0,1,6.9631,1,0.007,SAT,,0.029,
8,4,16,21.9593,0,10.0,-1,0.001,1.0,1,21.9593,1,0.008,SAT,,0.03,
9,2,50,65.3573,0,10.0,-1,0.001,1.0,1,65.3573,1,0.009000000000000001,SAT,,0.029,
10,5,40,1.8984,0,10.0,-1,0.001,1.0,1,1.8984,1,0.010000000000000002,SAT,,0.055,
11,5,16,44.084,0,10.0,-1,0.001,1.0,1,44.084,1,0.011000000000000003,SAT,,0.029,
12,5,5,136.0374,0,10.0,-1,0.001,1.0,1,136.0374,1,0.012000000000000004,SAT,,0.03,
13,2,34,34.0868,0,10.0,-1,0.001,1.0,1,34.0868,2,0.013000000000000005,SAT,,0.03,
14,6,16,78.3502,0,10.0,-1,0.001,1.0,1,78.3502,2,0.014000000000000005,SAT,,0.03,
15,2,39,37.5957,0,10.0,-1,0.001,1.0,1,37.5957,2,0.015000000000000006,SAT,,0.056,
16,3,34,23.087,0,10.0,-1,0.001,1.0,1,23.087,2,0.016000000000000007,SAT,,0.03,
17,2,15,6.3263,0,10.0,-1,0.001,1.0,1,6.3263,2,0.017000000000000008,SAT,,0.029,
18,7,50,10.8602,0,10.0,-1,0.001,1.0,1,10.8602,2,0.01800000000000001,SAT,,0.03,
19,7,15,79.1412,0,10.0,-1,0.001,1.0,1,79.1412,2,0.01900000000000001,SAT,,0.03,
20,7,39,3.3517,0,10.0,-1,0.001,1.0,1,3.3517,2,0.02000000000000001,SAT,,0.029,
21,7,34,15.0364,0,10.0,-1,0.001,1.0,1,15.0364,2,0.02100000000000001,SAT,,0.028,
22,7,5,187.135,0,10.0,-1,0.001,1.0,1,187.135,2,0.022000000000000013,SAT,,0.03,
23,7,16,73.5958,0,10.0,-1,0.001,1.0,1,73.5958,2,0.023000000000000013,SAT,,0.03,
24,7,40,2.1149,0,10.0,-1,0.001,1.0,1,2.1149,2,0.024000000000000014,SAT,,0.03,
25,2,8,23.3222,0,10.0,-1,0.001,1.0,1,23.3222,3,0.025000000000000015,SAT,,0.03,
26,8,15,13.8066,0,10.0,-1,0.001,1.0,1,13.8066,3,0.026000000000000016,SAT,,0.03,
27,2,44,47.3019,0,10.0,-1,0.001,1.0,1,47.3019,3,0.027000000000000017,SAT,,0.031,
28,9,40,117.4041,0,10.0,-1,0.001,1.0,1,117.4041,3,0.028000000000000018,SAT,,0.03,
29,2,61,73.9603,0,10.0,-1,0.001,1.0,1,73.9603,3,0.02900000000000002,SAT,,0.03,
30,10,5,67.3119,0,10.0,-1,0.001,1.0,1,67.3119,3,0.03000000000000002,SAT,,0.029,
31,2,47,56.0757,0,10.0,-1,0.001,1.0,1,56.0757,3,0.03100000000000002,SAT,,0.029,
32,11,39,4.8773,0,10.0,-1,0.001,1.0,1,4.8773,3,0.03200000000000002,SAT,,0.03,
33,11,47,5.6784,0,10.0,-1,0.001,1.0,1,5.6784,3,0.03300000000000002,SAT,,0.03,
34,11,40,3.4597,0,10.0,-1,0.001,1.0,1,3.4597,3,0.03400000000000002,SAT,,0.029,
35,11,34,17.6221,0,10.0,-1,0.001,1.0,1,17.6221,3,0.035000000000000024,SAT,,0.03,
36,11,15,88.1368,0,10.0,-1,0.001,1.0,1,88.1368,3,0.036000000000000025,SAT,,0.03,
37,11,61,17.2858,0,10.0,-1,0.001,1.0,1,17.2858,3,0.037000000000000026,SAT,,0.029,
38,11,53,16.1342,0,10.0,-1,0.001,1.0,1,16.1342,3,0.03800000000000003,SAT,,0.029,
