"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.0, 1.7976931348623157E308, 0.0, 1, 0.0,  x2='7.5'
0.12911500000001866, 3.2416, 0.337, 1, 0.031089000000008582,  x2='7.5'
0.7722850000000221, 2.3996, 1.226, 1, 0.5735720000000128,  x2='7.5'
1.1174860000000137, 8.050033333333333, 1.687, 1, 0.6188410000000317,  x2='7.5'
1.567851000000013, 6.377575, 2.204, 1, 0.6690870000000189,  x2='7.5'
2.5649060000000308, 8.8464, 3.235, 1, 1.1661700000000224,  x2='7.5'
3.229513999999995, 10.100466666666666, 3.87, 1, 1.2307400000000257,  x2='7.5'
4.0208320000000075, 8.8209, 4.742, 1, 1.6221120000000155,  x2='7.5'
4.905493000000019, 8.190199999999999, 5.5, 1, 1.706811000000016,  x2='7.5'
6.348840000000003, 9.474277777777777, 6.807, 1, 2.250319000000019,  x2='7.5'
7.448166000000018, 11.84303, 7.683, 1, 2.349396000000013,  x2='7.5'
8.984125000000011, 11.473081818181818, 8.953, 1, 2.786075000000011,  x2='7.5'
10.302822000000004, 10.931308333333334, 9.952, 1, 2.9043180000000177,  x2='7.5'
12.089127000000015, 10.566584615384615, 11.421, 1, 3.390566000000007,  x2='7.5'
13.630075999999988, 12.734642857142857, 12.595, 1, 3.5318710000000237,  x2='7.5'
15.659196999999986, 12.807993333333332, 14.166, 1, 4.060407000000026,  x2='7.5'
17.287096999999992, 12.807966666666667, 15.069, 14, 4.188418000000013,  x2='8.610319391075345'
17.41641099999996, 13.132624999999999, 15.463, 14, 4.218504000000024,  x2='8.610319391075345'
19.751253999999975, 12.483870588235295, 17.303, 14, 4.852554000000026,  x2='8.610319391075345'
20.530508999999988, 12.900105555555555, 18.056, 14, 4.93172899999999,  x2='8.610319391075345'
22.955365000000008, 13.24357894736842, 19.908, 14, 5.456842000000023,  x2='8.610319391075345'
25.14262300000002, 12.66062, 21.489, 14, 5.6448660000000075,  x2='8.610319391075345'
27.77211400000006, 12.540785714285713, 23.415, 14, 6.173344000000014,  x2='8.610319391075345'
29.196936000000072, 12.268618181818182, 24.524, 14, 6.298160999999993,  x2='8.610319391075345'
32.02976900000009, 11.83968695652174, 26.566, 14, 6.831009000000023,  x2='8.610319391075345'
34.64412200000014, 11.5477875, 28.33, 14, 7.045363000000009,  x2='8.610319391075345'
37.70500900000018, 11.334764, 30.502, 14, 7.606404000000026,  x2='8.610319391075345'
40.54013400000023, 11.32788076923077, 32.395, 14, 7.842151999999999,  x2='8.610319391075345'
43.89503300000024, 11.03002962962963, 34.765, 14, 8.496334000000019,  x2='8.610319391075345'
46.94677500000029, 10.709814285714286, 36.773, 14, 8.748531000000014,  x2='8.610319391075345'
50.48577400000034, 10.743148275862069, 39.233, 14, 9.387683000000038,  x2='8.610319391075345'
53.75116800000037, 10.586463333333333, 41.415, 14, 9.6524,  x2='8.610319391075345'
57.49391800000042, 10.900445161290323, 43.967, 14, 10.295151000000033,  x2='8.610319391075345'
60.978357000000486, 11.0820125, 46.223, 14, 10.579660000000018,  x2='8.610319391075345'
65.07334900000052, 11.345363636363636, 49.049, 14, 11.37484900000004,  x2='8.610319391075345'
68.76925500000056, 11.447670588235294, 51.416, 14, 11.670702000000034,  x2='8.610319391075345'
73.01175800000061, 11.182637142857143, 54.292, 14, 12.413138000000004,  x2='8.610319391075345'
76.93649100000066, 11.598875000000001, 56.789, 14, 12.738302000000004,  x2='8.610319391075345'
81.34795800000045, 11.722972972972974, 59.79, 14, 13.449250000000006,  x2='8.610319391075345'
85.05349400000024, 11.727036842105264, 62.18, 14, 13.754737000000006,  x2='8.610319391075345'
89.663797, 11.939141025641026, 65.231, 14, 14.464996000000014,  x2='8.610319391075345'
94.0052269999998, 12.0376825, 68.004, 14, 14.80649600000001,  x2='8.610319391075345'
98.82969999999956, 12.197790243902439, 71.167, 14, 15.531016999999991,  x2='8.610319391075345'
103.38572499999931, 12.07449761904762, 74.005, 14, 15.886964000000006,  x2='8.610319391075345'
108.42408299999907, 12.248446511627908, 77.291, 14, 16.62533000000002,  x2='8.610319391075345'
113.19920299999883, 12.383106818181819, 80.254, 14, 17.000741000000005,  x2='8.610319391075345'
117.33013399999864, 12.383106818181819, 82.574, 14, 17.331342000000006,  x2='8.610319391075345'
