Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,18,9.7539,0,10.0,-1,0.001,1.0,1,9.7539,0,0.001,SAT,Returned from portfolio; configuration: 10126123 my performance: ,0.028,
2,1,44,3.0732,0,10.0,-1,0.001,1.0,1,3.0732,1,0.002,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.028,
3,2,44,3.0732,0,10.0,-1,0.001,1.0,1,3.0732,1,0.003,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.028,
4,2,18,9.7539,0,10.0,-1,0.001,1.0,1,9.7539,1,0.004,SAT,Returned from portfolio; configuration: 10126123 my performance: ,0.028,
5,1,69,4.9718,0,10.0,-1,0.001,1.0,1,4.9718,1,0.005,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.029,
6,3,18,9.7539,0,10.0,-1,0.001,1.0,1,9.7539,1,0.006,SAT,Returned from portfolio; configuration: 10126123 my performance: ,0.028,
7,3,44,3.0732,0,10.0,-1,0.001,1.0,1,3.0732,1,0.007,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.028,
8,3,69,4.9718,0,10.0,-1,0.001,1.0,1,4.9718,1,0.008,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.029,
9,1,45,3.7753,0,10.0,-1,0.001,1.0,1,3.7753,1,0.009000000000000001,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.029,
10,4,69,4.9718,0,10.0,-1,0.001,1.0,1,4.9718,1,0.010000000000000002,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.029,
11,4,45,3.7753,0,10.0,-1,0.001,1.0,1,3.7753,1,0.011000000000000003,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.029,
12,4,18,9.7539,0,10.0,-1,0.001,1.0,1,9.7539,1,0.012000000000000004,SAT,Returned from portfolio; configuration: 10126123 my performance: ,0.028,
13,4,44,3.0732,0,10.0,-1,0.001,1.0,1,3.0732,1,0.013000000000000005,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.028,
14,1,38,3.2859,0,10.0,-1,0.001,1.0,1,3.2859,1,0.014000000000000005,SAT,Returned from portfolio; configuration: 10126316 my performance: ,0.028,
15,5,45,3.7753,0,10.0,-1,0.001,1.0,1,3.7753,1,0.015000000000000006,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.029,
16,5,18,9.7539,0,10.0,-1,0.001,1.0,1,9.7539,1,0.016000000000000007,SAT,Returned from portfolio; configuration: 10126123 my performance: ,0.028,
17,5,38,3.2859,0,10.0,-1,0.001,1.0,1,3.2859,1,0.017000000000000008,SAT,Returned from portfolio; configuration: 10126316 my performance: ,0.028,
18,5,69,4.9718,0,10.0,-1,0.001,1.0,1,4.9718,1,0.01800000000000001,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.029,
19,5,44,3.0732,0,10.0,-1,0.001,1.0,1,3.0732,1,0.01900000000000001,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.028,
20,1,52,14.8238,0,10.0,-1,0.001,1.0,1,14.8238,1,0.02000000000000001,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.028,
21,6,69,4.9718,0,10.0,-1,0.001,1.0,1,4.9718,1,0.02100000000000001,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.029,
22,6,52,14.8238,0,10.0,-1,0.001,1.0,1,14.8238,1,0.022000000000000013,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.028,
23,6,38,3.2859,0,10.0,-1,0.001,1.0,1,3.2859,1,0.023000000000000013,SAT,Returned from portfolio; configuration: 10126316 my performance: ,0.028,
24,6,18,9.7539,0,10.0,-1,0.001,1.0,1,9.7539,1,0.024000000000000014,SAT,Returned from portfolio; configuration: 10126123 my performance: ,0.028,
25,6,44,3.0732,0,10.0,-1,0.001,1.0,1,3.0732,1,0.025000000000000015,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.028,
26,6,45,3.7753,0,10.0,-1,0.001,1.0,1,3.7753,1,0.026000000000000016,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.029,
27,1,47,6.1899,0,10.0,-1,0.001,1.0,1,6.1899,2,0.027000000000000017,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.029,
28,7,38,3.2859,0,10.0,-1,0.001,1.0,1,3.2859,2,0.028000000000000018,SAT,Returned from portfolio; configuration: 10126316 my performance: ,0.028,
29,7,44,3.0732,0,10.0,-1,0.001,1.0,1,3.0732,2,0.02900000000000002,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.028,
30,7,45,3.7753,0,10.0,-1,0.001,1.0,1,3.7753,2,0.03000000000000002,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.029,
31,7,69,4.9718,0,10.0,-1,0.001,1.0,1,4.9718,2,0.03100000000000002,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.029,
32,7,47,6.1899,0,10.0,-1,0.001,1.0,1,6.1899,2,0.03200000000000002,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.029,
33,7,18,9.7539,0,10.0,-1,0.001,1.0,1,9.7539,2,0.03300000000000002,SAT,Returned from portfolio; configuration: 10126123 my performance: ,0.028,
34,7,52,14.8238,0,10.0,-1,0.001,1.0,1,14.8238,2,0.03400000000000002,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.028,
35,1,13,1.7865,0,10.0,-1,0.001,1.0,1,1.7865,2,0.035000000000000024,SAT,Returned from portfolio; configuration: 10126562 my performance: ,0.028,
36,3,47,6.1899,0,10.0,-1,0.001,1.0,1,6.1899,2,0.036000000000000025,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.029,
37,3,52,14.8238,0,10.0,-1,0.001,1.0,1,14.8238,2,0.037000000000000026,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.028,
38,3,38,3.2859,0,10.0,-1,0.001,1.0,1,3.2859,2,0.03800000000000003,SAT,Returned from portfolio; configuration: 10126316 my performance: ,0.028,
39,3,45,3.7753,0,10.0,-1,0.001,1.0,1,3.7753,2,0.03900000000000003,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.029,
40,3,13,1.7865,0,10.0,-1,0.001,1.0,1,1.7865,2,0.04000000000000003,SAT,Returned from portfolio; configuration: 10126562 my performance: ,0.028,
41,1,58,19.7469,0,10.0,-1,0.001,1.0,1,19.7469,3,0.04100000000000003,SAT,Returned from portfolio; configuration: 10126465 my performance: ,0.03,
42,8,18,9.7539,0,10.0,-1,0.001,1.0,1,9.7539,3,0.04200000000000003,SAT,Returned from portfolio; configuration: 10203703 my performance: ,0.029,
