Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,21,16.1317,0,10.0,-1,0.001,1.0,1,16.1317,0,0.001,SAT,Returned from portfolio; configuration: 10750411 my performance: ,0.03,
2,1,5,19.9761,0,10.0,-1,0.001,1.0,1,19.9761,1,0.002,SAT,Returned from portfolio; configuration: 10751830 my performance: ,0.028,
3,2,5,19.9761,0,10.0,-1,0.001,1.0,1,19.9761,1,0.003,SAT,Returned from portfolio; configuration: 10751830 my performance: ,0.028,
4,2,21,15.2368,0,10.0,-1,0.001,1.0,1,15.2368,1,0.004,SAT,Returned from portfolio; configuration: 10750411 my performance: ,0.03,
5,2,72,2.1715,0,10.0,-1,0.001,1.0,1,2.1715,1,0.005,SAT,Returned from portfolio; configuration: 10751584 my performance: ,0.029,
6,3,5,19.9761,0,10.0,-1,0.001,1.0,1,19.9761,1,0.006,SAT,Returned from portfolio; configuration: 10782281 my performance: ,0.028,
7,3,21,15.2368,0,10.0,-1,0.001,1.0,1,15.2368,1,0.007,SAT,Returned from portfolio; configuration: 10750411 my performance: ,0.03,
8,3,72,2.1715,0,10.0,-1,0.001,1.0,1,2.1715,1,0.008,SAT,Returned from portfolio; configuration: 10751584 my performance: ,0.029,
9,2,74,1.3602,0,10.0,-1,0.001,1.0,1,1.3602,1,0.009000000000000001,SAT,Returned from portfolio; configuration: 10751584 my performance: ,0.029,
10,4,5,19.9761,0,10.0,-1,0.001,1.0,1,19.9761,1,0.010000000000000002,SAT,Returned from portfolio; configuration: 10751830 my performance: ,0.028,
11,4,74,1.3602,0,10.0,-1,0.001,1.0,1,1.3602,1,0.011000000000000003,SAT,Returned from portfolio; configuration: 10751584 my performance: ,0.029,
12,4,21,15.2368,0,10.0,-1,0.001,1.0,1,15.2368,1,0.012000000000000004,SAT,Returned from portfolio; configuration: 10750411 my performance: ,0.03,
13,4,72,2.1715,0,10.0,-1,0.001,1.0,1,2.1715,1,0.013000000000000005,SAT,Returned from portfolio; configuration: 10751584 my performance: ,0.029,
14,2,35,7.819,0,10.0,-1,0.001,1.0,1,7.819,2,0.014000000000000005,SAT,Returned from portfolio; configuration: 10751584 my performance: ,0.029,
15,5,35,7.819,0,10.0,-1,0.001,1.0,1,7.819,2,0.015000000000000006,SAT,Returned from portfolio; configuration: 10751584 my performance: ,0.029,
16,5,72,2.1715,0,10.0,-1,0.001,1.0,1,2.1715,2,0.016000000000000007,SAT,Returned from portfolio; configuration: 10751584 my performance: ,0.029,
17,5,21,15.2368,0,10.0,-1,0.001,1.0,1,15.2368,2,0.017000000000000008,SAT,Returned from portfolio; configuration: 10750411 my performance: ,0.03,
18,5,5,19.9761,0,10.0,-1,0.001,1.0,1,19.9761,2,0.01800000000000001,SAT,Returned from portfolio; configuration: 10751830 my performance: ,0.028,
19,5,74,1.3602,0,10.0,-1,0.001,1.0,1,1.3602,2,0.01900000000000001,SAT,Returned from portfolio; configuration: 10751584 my performance: ,0.029,
20,2,4,26.1672,0,10.0,-1,0.001,1.0,1,26.1672,2,0.02000000000000001,SAT,Returned from portfolio; configuration: 10751830 my performance: ,0.029,
21,3,35,7.819,0,10.0,-1,0.001,1.0,1,7.819,2,0.02100000000000001,SAT,Returned from portfolio; configuration: 10751584 my performance: ,0.029,
22,3,4,26.1672,0,10.0,-1,0.001,1.0,1,26.1672,2,0.022000000000000013,SAT,Returned from portfolio; configuration: 10812634 my performance: ,0.029,
23,3,74,1.3602,0,10.0,-1,0.001,1.0,1,1.3602,2,0.023000000000000013,SAT,Returned from portfolio; configuration: 10751584 my performance: ,0.029,
24,2,49,9.509,0,10.0,-1,0.001,1.0,1,9.509,3,0.024000000000000014,SAT,Returned from portfolio; configuration: 10751733 my performance: ,0.028,
25,6,72,2.1715,0,10.0,-1,0.001,1.0,1,2.1715,3,0.025000000000000015,SAT,Returned from portfolio; configuration: 10751584 my performance: ,0.029,
26,6,35,7.819,0,10.0,-1,0.001,1.0,1,7.819,3,0.026000000000000016,SAT,Returned from portfolio; configuration: 10751584 my performance: ,0.029,
27,6,74,1.3602,0,10.0,-1,0.001,1.0,1,1.3602,3,0.027000000000000017,SAT,Returned from portfolio; configuration: 10751584 my performance: ,0.029,
28,6,5,19.9761,0,10.0,-1,0.001,1.0,1,19.9761,3,0.028000000000000018,SAT,Returned from portfolio; configuration: 10824596 my performance: ,0.029,
29,6,4,26.1672,0,10.0,-1,0.001,1.0,1,26.1672,3,0.02900000000000002,SAT,Returned from portfolio; configuration: 10824596 my performance: ,0.029,
30,6,49,9.509,0,10.0,-1,0.001,1.0,1,9.509,3,0.03000000000000002,SAT,Returned from portfolio; configuration: 10751733 my performance: ,0.028,
31,6,21,15.2368,0,10.0,-1,0.001,1.0,1,15.2368,3,0.03100000000000002,SAT,Returned from portfolio; configuration: 10750411 my performance: ,0.03,
32,2,46,4.8341,0,10.0,-1,0.001,1.0,1,4.8341,3,0.03200000000000002,SAT,Returned from portfolio; configuration: 10751733 my performance: ,0.029,
33,7,74,1.3602,0,10.0,-1,0.001,1.0,1,1.3602,3,0.03300000000000002,SAT,Returned from portfolio; configuration: 10751584 my performance: ,0.029,
34,7,46,4.8341,0,10.0,-1,0.001,1.0,1,4.8341,3,0.03400000000000002,SAT,Returned from portfolio; configuration: 10751733 my performance: ,0.029,
35,7,35,7.819,0,10.0,-1,0.001,1.0,1,7.819,3,0.035000000000000024,SAT,Returned from portfolio; configuration: 10751584 my performance: ,0.029,
36,7,21,15.2368,0,10.0,-1,0.001,1.0,1,15.2368,3,0.036000000000000025,SAT,Returned from portfolio; configuration: 10750411 my performance: ,0.03,
37,7,5,19.9761,0,10.0,-1,0.001,1.0,1,19.9761,3,0.037000000000000026,SAT,Returned from portfolio; configuration: 10751830 my performance: ,0.028,
