CPUtime,Incumbent Runs
0.2894420000000082,2
0.3149220000000028,3
0.3399400000000057,4
0.6495190000000051,5
0.6843980000000016,6
0.9296780000000027,7
0.983780000000003,8
1.286483000000004,9
1.347771999999999,10
1.6586320000000043,11
1.7322630000000032,12
2.016455999999998,13
2.0967680000000044,14
2.417198000000006,15
2.5138280000000037,16
2.8847430000000074,17
2.9939130000000063,18
3.31485,19
3.428080999999999,20
3.779820000000001,21
3.907648000000002,22
4.259543000000001,23
4.398741999999999,24
4.78262800000001,25
4.925305000000002,26
5.331498000000003,27
5.492379000000007,28
5.912964000000002,29
6.0862359999999995,30
6.494933000000003,31
6.6754100000000065,32
7.117154000000006,33
7.3081960000000095,34
7.7426280000000105,35
7.954715000000007,36
8.438322000000007,37
8.645691,38
9.115455000000004,39
9.336475,40
9.840815000000006,41
10.078996000000004,42
10.613373000000003,43
10.861328000000007,44
