Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,43,11.5266,0,10.0,-1,0.001,1.0,1,11.5266,0,0.001,SAT,Returned from portfolio; configuration: 4953989 my performance: ,0.032,
2,1,41,9.3859,0,10.0,-1,0.001,1.0,1,9.3859,1,0.002,SAT,Returned from portfolio; configuration: 4953989 my performance: ,0.029,
3,2,43,11.5266,0,10.0,-1,0.001,1.0,1,11.5266,1,0.003,SAT,Returned from portfolio; configuration: 4973754 my performance: ,0.03,
4,2,41,9.3859,0,10.0,-1,0.001,1.0,1,9.3859,1,0.004,SAT,Returned from portfolio; configuration: 4973754 my performance: ,0.028,
5,1,64,28.4449,0,10.0,-1,0.001,1.0,1,28.4449,1,0.005,SAT,Returned from portfolio; configuration: 4953989 my performance: ,0.028,
6,3,64,28.4449,0,10.0,-1,0.001,1.0,1,28.4449,1,0.006,SAT,Returned from portfolio; configuration: 4953989 my performance: ,0.028,
7,3,43,11.5266,0,10.0,-1,0.001,1.0,1,11.5266,1,0.007,SAT,Returned from portfolio; configuration: 4953989 my performance: ,0.032,
8,3,41,9.3859,0,10.0,-1,0.001,1.0,1,9.3859,1,0.008,SAT,Returned from portfolio; configuration: 4953989 my performance: ,0.029,
9,1,35,11.1169,0,10.0,-1,0.001,1.0,1,11.1169,1,0.009000000000000001,SAT,Returned from portfolio; configuration: 4953989 my performance: ,0.029,
10,4,64,28.4449,0,10.0,-1,0.001,1.0,1,28.4449,1,0.010000000000000002,SAT,Returned from portfolio; configuration: 4970306 my performance: ,0.029,
11,4,41,9.3859,0,10.0,-1,0.001,1.0,1,9.3859,1,0.011000000000000003,SAT,Returned from portfolio; configuration: 4970306 my performance: ,0.029,
12,4,35,11.1169,0,10.0,-1,0.001,1.0,1,11.1169,1,0.012000000000000004,SAT,Returned from portfolio; configuration: 4970306 my performance: ,0.028,
13,4,43,11.5266,0,10.0,-1,0.001,1.0,1,11.5266,1,0.013000000000000005,SAT,Returned from portfolio; configuration: 4970306 my performance: ,0.03,
14,1,32,14.6758,0,10.0,-1,0.001,1.0,1,14.6758,2,0.014000000000000005,SAT,Returned from portfolio; configuration: 4953989 my performance: ,0.029,
15,5,41,9.3859,0,10.0,-1,0.001,1.0,1,9.3859,2,0.015000000000000006,SAT,Returned from portfolio; configuration: 4998979 my performance: ,0.028,
16,5,35,11.1169,0,10.0,-1,0.001,1.0,1,11.1169,2,0.016000000000000007,SAT,Returned from portfolio; configuration: 4998979 my performance: ,0.029,
17,5,43,11.5266,0,10.0,-1,0.001,1.0,1,11.5266,2,0.017000000000000008,SAT,Returned from portfolio; configuration: 4998979 my performance: ,0.029,
18,5,32,14.6758,0,10.0,-1,0.001,1.0,1,14.6758,2,0.01800000000000001,SAT,Returned from portfolio; configuration: 4998979 my performance: ,0.028,
19,5,64,28.4449,0,10.0,-1,0.001,1.0,1,28.4449,2,0.01900000000000001,SAT,Returned from portfolio; configuration: 4998979 my performance: ,0.028,
20,1,2,137.3104,0,10.0,-1,0.001,1.0,1,137.3104,2,0.02000000000000001,SAT,Returned from portfolio; configuration: 4953292 my performance: ,0.029,
21,3,35,11.1169,0,10.0,-1,0.001,1.0,1,11.1169,2,0.02100000000000001,SAT,Returned from portfolio; configuration: 4953989 my performance: ,0.029,
22,3,32,14.6758,0,10.0,-1,0.001,1.0,1,14.6758,2,0.022000000000000013,SAT,Returned from portfolio; configuration: 4953989 my performance: ,0.029,
23,3,2,93.9389,0,10.0,-1,0.001,1.0,1,93.9389,2,0.023000000000000013,SAT,Returned from portfolio; configuration: 5014385 my performance: ,0.029,
24,3,50,27.1051,0,10.0,-1,0.001,1.0,1,27.1051,3,0.024000000000000014,SAT,Returned from portfolio; configuration: 4953989 my performance: ,0.03,
25,6,2,93.9389,0,10.0,-1,0.001,1.0,1,93.9389,3,0.025000000000000015,SAT,Returned from portfolio; configuration: 4953292 my performance: ,0.029,
26,6,43,11.5266,0,10.0,-1,0.001,1.0,1,11.5266,3,0.026000000000000016,SAT,Returned from portfolio; configuration: 5029544 my performance: ,0.028,
27,6,50,27.1051,0,10.0,-1,0.001,1.0,1,27.1051,3,0.027000000000000017,SAT,Returned from portfolio; configuration: 5029544 my performance: ,0.028,
28,6,64,28.4449,0,10.0,-1,0.001,1.0,1,28.4449,3,0.028000000000000018,SAT,Returned from portfolio; configuration: 5029544 my performance: ,0.027,
29,6,32,14.6758,0,10.0,-1,0.001,1.0,1,14.6758,3,0.02900000000000002,SAT,Returned from portfolio; configuration: 4953989 my performance: ,0.029,
30,6,41,9.3859,0,10.0,-1,0.001,1.0,1,9.3859,3,0.03000000000000002,SAT,Returned from portfolio; configuration: 5029544 my performance: ,0.028,
31,6,35,11.1169,0,10.0,-1,0.001,1.0,1,11.1169,3,0.03100000000000002,SAT,Returned from portfolio; configuration: 4953989 my performance: ,0.029,
32,3,42,10.2742,0,10.0,-1,0.001,1.0,1,10.2742,3,0.03200000000000002,SAT,Returned from portfolio; configuration: 4953989 my performance: ,0.03,
33,7,64,28.4449,0,10.0,-1,0.001,1.0,1,28.4449,3,0.03300000000000002,SAT,Returned from portfolio; configuration: 4953989 my performance: ,0.028,
